;Data;Hora UTC;RADIACAO GLOBAL (Kj/m²)
1234;21/02/24;1000 UTC;298.0
1235;21/02/24;1100 UTC;1465.9
1236;21/02/24;1200 UTC;2594.5
1237;21/02/24;1300 UTC;1240.9
1238;21/02/24;1400 UTC;1404.4
1239;21/02/24;1500 UTC;3429.6
1240;21/02/24;1600 UTC;1131.5
1241;21/02/24;1700 UTC;2807.9
1242;21/02/24;1800 UTC;1472.4
1243;21/02/24;1900 UTC;1051.6
1244;21/02/24;2000 UTC;463.8
1245;21/02/24;2100 UTC;128.3
1257;22/02/24;0900 UTC;78.7
1258;22/02/24;1000 UTC;809.0
1259;22/02/24;1100 UTC;1245.5
1260;22/02/24;1200 UTC;2090.5
1261;22/02/24;1300 UTC;2554.4
1262;22/02/24;1400 UTC;2296.6
1263;22/02/24;1500 UTC;2064.6
1264;22/02/24;1600 UTC;2733.2
1265;22/02/24;1700 UTC;2692.2
1266;22/02/24;1800 UTC;2528.3
1267;22/02/24;1900 UTC;1746.9
1268;22/02/24;2000 UTC;926.5
1269;22/02/24;2100 UTC;124.0
1281;23/02/24;0900 UTC;35.6
1282;23/02/24;1000 UTC;401.6
1283;23/02/24;1100 UTC;950.9
